"","Team","estimate","SE","quasiSE","quasiVar","Std. Error","z value","Pr(>|z|)"
"1","ALPHA.Augsburg",-0.344206812766263,0.626628043400316,0.695702515777046,0.484001990458511,0.626628043400316,-0.549300045523767,0.582799556133522
"2","ALPHA.Bayer.Leverkusen",-0.125665817681141,0.626051950525199,0.6949619358281,0.48297209224994,0.626051950525199,-0.200727459719148,0.840911686941067
"3","ALPHA.Bayern.München",0.457259390075466,0.708343148480551,0.768338368100595,0.590343847895485,0.708343148480551,0.645533723388617,0.518581371492846
"4","ALPHA.Borussia.Dortmund",0.417325724396291,0.628771524848302,0.696984112435981,0.485786852988173,0.628771524848302,0.663716004787232,0.506872093837984
"5","ALPHA.Borussia.M.gladbach",1.1097046822295,0.634012178204793,0.701077070515331,0.491509058802358,0.634012178204793,1.75028922215916,0.0800684197311634
"6","ALPHA.Eintracht.Frankfurt",0.398165235084192,0.627689420778381,0.695990494624084,0.484402768607077,0.627689420778381,0.634334787083774,0.525862358545512
"7","ALPHA.Freiburg",1.26958724304214,0.643181464686225,0.709200368941085,0.502965163306172,0.643181464686225,1.97391764649422,0.0483911078850687
"8","ALPHA.Hamburger.SV",1.05209475380417,0.643914571034527,0.710084323973406,0.504219747152769,0.643914571034527,1.63390424930725,0.102278957369713
"9","ALPHA.Hannover.96",0.657475075266293,0.631116092493225,0.698819964045533,0.488349342148601,0.631116092493225,1.04176566417271,0.297520336799651
"10","ALPHA.Hertha.BSC",-0.662915997721263,0.626586963317678,0.695954061900505,0.484352056275811,0.626586963317678,-1.0579792375686,0.290064908179582
"11","ALPHA.Hoffenheim",1.5247378359746,0.645987528272736,0.711575439644314,0.506339606304998,0.645987528272736,2.36032085642814,0.0182591348421213
"12","ALPHA.Köln",0.1024164879526,0.639960753351672,0.707453810640282,0.500490894189456,0.639960753351672,0.16003557626966,0.872853049562818
"13","ALPHA.Mainz.05",0.537789490950242,0.633231029961574,0.700852196357666,0.491193801139365,0.633231029961574,0.849278486846857,0.395726348745808
"14","ALPHA.RB.Leipzig",0.508611905510811,0.628495584066689,0.696633344239228,0.48529801630593,0.628495584066689,0.80925295006821,0.418369663463705
"15","ALPHA.Schalke.04",0.309431753082902,0.631361471878057,0.699421852930378,0.489190928356564,0.631361471878057,0.490102369031898,0.624061461791991
"16","ALPHA.Stuttgart",1.14334254535702,0.634614202538397,0.701578744359163,0.492212734536579,0.634614202538397,1.80163403337611,0.0716030030249598
"17","ALPHA.Werder.Bremen",0.261804544581572,0.627763062177459,0.696154510341308,0.484631102268547,0.627763062177459,0.417043563655174,0.676646543669368
"18","ALPHA.Wolfsburg",-0.0329511529928884,0.628012408733855,0.452983850019746,0.205194368378711,0.628012408733855,-0.0524689521013155,0.958155033879233
"19","GAMMA.Augsburg",0.318890067966133,0.619929414073893,0.459075649269758,0.21075045175245,0.619929414073893,0.514397382551238,0.6069741888647
"20","GAMMA.Bayer.Leverkusen",0.708815818550772,0.62002676760215,0.458849691270792,0.210543039179301,0.62002676760215,1.1432019641539,0.252954746973597
"21","GAMMA.Bayern.München",2.16787021211974,0.643688677340179,0.49029144819889,0.240385704176965,0.643688677340179,3.36788619783979,0.000757468555132126
"22","GAMMA.Borussia.Dortmund",0.512707177702114,0.61974729423919,0.458591057607183,0.210305758117275,0.61974729423919,0.827284253546473,0.408075966649666
"23","GAMMA.Borussia.M.gladbach",-0.228752590141683,0.622993869993157,0.463916965572406,0.215218950945909,0.622993869993157,-0.367182730295879,0.713482720247117
"24","GAMMA.Eintracht.Frankfurt",0.252603331357274,0.620107007995446,0.45938792441667,0.211037265099856,0.620107007995446,0.40735442125358,0.683747697727109
"25","GAMMA.Freiburg",-0.956245744626752,0.635860008513077,0.482536863792353,0.23284182491856,0.635860008513077,-1.50386206369996,0.132616886753436
"26","GAMMA.Hamburger.SV",-1.01039625821507,0.637548985840842,0.484906547846815,0.235134360144716,0.637548985840842,-1.58481352908514,0.113008707600261
"27","GAMMA.Hannover.96",-0.301220093020534,0.623922459455853,0.465355414147648,0.216555661476529,0.623922459455853,-0.48278450063048,0.629248757068305
"28","GAMMA.Hertha.BSC",0.608976193435374,0.619783225063945,0.458571029614145,0.210287389201377,0.619783225063945,0.982563207277099,0.325822460059134
"29","GAMMA.Hoffenheim",0.154089170372182,0.619917266928935,0.458962541906305,0.210646614873097,0.619917266928935,0.248564088455769,0.803697990013853
"30","GAMMA.Köln",-0.757179147489607,0.631314262202387,0.47606148008912,0.226634532824643,0.631314262202387,-1.19936962115846,0.230384254609514
"31","GAMMA.Mainz.05",-0.504617588881371,0.626642343420462,0.469373850204359,0.220311811255664,0.626642343420462,-0.805272088903167,0.420662684547506
"32","GAMMA.RB.Leipzig",0.261825258658023,0.620073186585489,0.459316584242753,0.21097172456043,0.620073186585489,0.4222489608038,0.67284330789109
"33","GAMMA.Schalke.04",0.871906456719015,0.620667045866011,0.459544841047227,0.211181460933121,0.620667045866011,1.4047893512736,0.160083926542033
"34","GAMMA.Stuttgart",-0.334333069291563,0.624133763023513,0.465636229228265,0.216817097969917,0.624133763023513,-0.535675345733488,0.592182945575937
"35","GAMMA.Werder.Bremen",0.0250900549782368,0.62114414380548,0.46111068752353,0.212623066148422,0.62114414380548,0.0403932891076151,0.96777958040087
"36","GAMMA.Wolfsburg",0,0,0.322417070908429,0.103952767613171,NA,NA,0
